"fila","decil","tamanio_localidad","marginacion","n","gasto_prom","ingreso_prom","rubro","prop_ingreso"
"1","1","100 mil o más","Muy bajo",431,2720.88940654055,7023.87328834629,"ALIMENTOS",0.387377347916417
"2","1","100 mil o más","Bajo",59,2680.30634608601,5957.20544233532,"ALIMENTOS",0.449926794036381
"3","1","100 mil o más","Medio",92,2844.24180985777,6834.84765741627,"ALIMENTOS",0.416138289018275
"4","1","De 15 mil a 100 mil","Muy bajo",89,2611.8477386032,6616.99354063579,"ALIMENTOS",0.394718193778416
"5","1","De 15 mil a 100 mil","Bajo",88,2869.18092832125,6756.55020545886,"ALIMENTOS",0.424651758822592
"6","1","De 15 mil a 100 mil","Medio",81,2895.07212572099,6636.2430995281,"ALIMENTOS",0.436251668647711
"7","1","De 15 mil a 100 mil","Alto",123,3213.77336999941,7079.54975684921,"ALIMENTOS",0.453951660822808
"8","1","De 15 mil a 100 mil","Muy alto",49,2936.09291497401,6001.2096680791,"ALIMENTOS",0.489250180774605
"9","1","De 2500 a 15 mil","Muy bajo",36,2751.49447544009,7150.98644546082,"ALIMENTOS",0.384771317415465
"10","1","De 2500 a 15 mil","Bajo",61,2704.89956619871,6781.63520983796,"ALIMENTOS",0.398856541601467
"11","1","De 2500 a 15 mil","Medio",88,2866.87718338649,6727.00920001604,"ALIMENTOS",0.426174113658066
"12","1","De 2500 a 15 mil","Alto",170,2973.1611383813,6764.65228144605,"ALIMENTOS",0.439514259518708
"13","1","De 2500 a 15 mil","Muy alto",93,2775.87952132402,5862.44868842607,"ALIMENTOS",0.473501717260963
"14","1","Menos de 2500","Muy bajo",64,2401.90394901445,6479.50237467619,"ALIMENTOS",0.370692656646258
"15","1","Menos de 2500","Bajo",140,2304.34056146816,6485.37023565922,"ALIMENTOS",0.355313648679293
"16","1","Menos de 2500","Medio",263,2561.6592892964,6406.52806754724,"ALIMENTOS",0.39985141129291
"17","1","Menos de 2500","Alto",620,2693.15843130049,6228.84676040301,"ALIMENTOS",0.432368708830821
"18","1","Menos de 2500","Muy alto",671,2216.42637309127,5744.24406355316,"ALIMENTOS",0.385851706259201
"19","2","100 mil o más","Muy bajo",700,3719.75256885145,11266.0272977433,"ALIMENTOS",0.330174290417044
"20","2","100 mil o más","Bajo",78,3689.99513684816,11210.7545719358,"ALIMENTOS",0.329147794037472
"21","2","100 mil o más","Medio",61,4133.02998794176,11300.2761040575,"ALIMENTOS",0.365745929558105
"22","2","De 15 mil a 100 mil","Muy bajo",125,3549.43637564189,11270.814530134,"ALIMENTOS",0.314922791618299
"23","2","De 15 mil a 100 mil","Bajo",136,3926.51871876672,11317.13165387,"ALIMENTOS",0.346953524873417
"24","2","De 15 mil a 100 mil","Medio",128,4181.86304573721,11331.8299526236,"ALIMENTOS",0.369036868998285
"25","2","De 15 mil a 100 mil","Alto",121,4110.99636455224,10987.6868584801,"ALIMENTOS",0.374145752195281
"26","2","De 15 mil a 100 mil","Muy alto",20,3665.45234115192,10847.0223157895,"ALIMENTOS",0.337922448616732
"27","2","De 2500 a 15 mil","Muy bajo",48,3941.55007053598,11456.3767700261,"ALIMENTOS",0.344048572219486
"28","2","De 2500 a 15 mil","Bajo",99,3902.00429909984,10971.9937112606,"ALIMENTOS",0.355633114799837
"29","2","De 2500 a 15 mil","Medio",129,4365.22233443841,11099.0332099448,"ALIMENTOS",0.393297528880908
"30","2","De 2500 a 15 mil","Alto",151,4009.0101429213,11144.1280776753,"ALIMENTOS",0.359741930008185
"31","2","De 2500 a 15 mil","Muy alto",46,3652.96286651843,11011.9222354344,"ALIMENTOS",0.331727993389187
"32","2","Menos de 2500","Muy bajo",57,3227.12028015444,11232.7869648457,"ALIMENTOS",0.287294710587327
"33","2","Menos de 2500","Bajo",151,3117.77217928779,11025.375921108,"ALIMENTOS",0.282781485329571
"34","2","Menos de 2500","Medio",255,3658.3037345719,11152.2924019506,"ALIMENTOS",0.328031547480951
